Data,Veiculo,Produto,Serviço,Total,Fabricante
12/03/2024,335I,"671,35","0,0","671,35",BMW
12/03/2024,PAJERO DAKAR,"5020,45","1592,0","6612,45",MITSUBISHI
12/03/2024,PALIO,"0,0","250,0","250,0",FIAT
13/03/2024,GOLF,"159,03","240,97","400,0",VOLKSWAGEN
15/03/2024,COMPASS,"267,96","109,04","377,0",JEEP
15/03/2024,X1,"81,9","0,0","81,9",BMW
15/03/2024,NEW FIESTA,"1842,8","610,0","2452,8",FORD
15/03/2024,MONTANA,"553,6","340,0","893,6",CHEVROLET
15/03/2024,SANDERO,"794,12","235,88","1030,0",RENAULT
18/03/2024,ARGO,"533,8","600,0","1133,8",FIAT
18/03/2024,ONIX,"100,0","0,0","100,0",CHEVROLET
18/03/2024,MONTANA,"381,38","0,0","381,38",CHEVROLET
18/03/2024,PALIO,"0,0","220,0","220,0",FIAT
18/03/2024,JETTA,"79,8","200,0","279,8",VOLKSWAGEN
20/03/2024,S10,"270,0","0,0","270,0",CHEVROLET
20/03/2024,PALIO,"130,1","80,0","210,1",FIAT
20/03/2024,PALIO,"0,0","120,0","120,0",FIAT
20/03/2024,COMPASS,"0,0","250,0","250,0",JEEP
21/03/2024,HILUX,"0,0","180,0","180,0",TOYOTA
21/03/2024,L200,"623,01","777,0","1400,01",MITSUBISHI
21/03/2024,COMPASS,"2090,0","180,0","2270,0",JEEP
21/03/2024,TRACKER,"1338,39","965,61","2304,0",CHEVROLET
22/03/2024,COROLLA,"5111,1","4985,0","10096,1",TOYOTA
22/03/2024,PAMPA,"1040,68","1154,31","2194,99",FIAT
25/03/2024,CELTA,"2,5","60,0","62,5",CHEVROLET
25/03/2024,RENEGADE,"1916,0","1270,0","3186,0",JEEP
25/03/2024,ONIX,"1905,55","610,0","2515,55",CHEVROLET
25/03/2024,RENEGADE,"419,75","495,0","914,75",JEEP
25/03/2024,SUBARU WRX,"3349,53","1539,77","4889,3",SUBARU
26/03/2024,PRISMA,"343,3","0,0","343,3",CHEVROLET
26/03/2024,SAVEIRO,"395,0","0,0","395,0",VOLKSWAGEN
27/03/2024,NEW FIESTA,"959,65","390,0","1349,65",FORD
27/03/2024,S10,"556,51","343,49","900,0",CHEVROLET
27/03/2024,CAPTUR,"130,7","180,0","310,7",RENAULT
27/03/2024,PICK UP CORSA,"1551,1","65,0","1616,1",CHEVROLET
28/03/2024,TRACKER,"265,0","340,0","605,0",CHEVROLET
28/03/2024,3008,"578,2","80,0","658,2",PEUGEOT
01/04/2024,HILUX SW4,"1680,86","619,12","2299,98",TOYOTA
01/04/2024,ONIX,"0,0","120,0","120,0",CHEVROLET
01/04/2024,TORO,"0,0","80,0","80,0",FIAT
01/04/2024,HRV,"2112,65","0,0","2112,65",HONDA
02/04/2024,TORO,"1739,89","1690,12","3430,01",FIAT
02/04/2024,HB20,"366,4","133,6","500,0",HYUNDAI
02/04/2024,HILUX SW4,"584,25","0,0","584,25",TOYOTA
03/04/2024,STRADA,"282,25","297,75","580,0",FIAT
03/04/2024,AMAROK,"6721,02","778,97","7499,99",VOLKSWAGEN
03/04/2024,RANGER,"25,0","165,0","190,0",FORD
03/04/2024,335I,"1211,6","3800,0","5011,6",BMW
03/04/2024,HILUX,"480,14","919,86","1400,0",TOYOTA
03/04/2024,X1,"2524,75","1525,26","4050,01",BMW
03/04/2024,AMAROK,"17278,71","4121,28","21399,99",VOLKSWAGEN
04/04/2024,ONIX,"697,5","130,0","827,5",CHEVROLET
04/04/2024,S10,"201,9","783,31","985,21",CHEVROLET
04/04/2024,JETTA,"0,0","300,0","300,0",VOLKSWAGEN
04/04/2024,B200T,"0,0","300,0","300,0",MERCEDES
05/04/2024,SUBARU WRX,"918,0","280,0","1198,0",SUBARU
05/04/2024,CORSA CLASSIC,"647,32","352,69","1000,01",CHEVROLET
05/04/2024,PAJERO DAKAR,"978,0","90,0","1068,0",MITSUBISHI
08/04/2024,C4 LOUNGE,"1312,2","560,0","1872,2",CITROËN
08/04/2024,ZAFIRA,"41,35","120,0","161,35",CHEVROLET
08/04/2024,DUSTER,"3802,9","3570,0","7372,9",RENAULT
08/04/2024,FUSCA,"141,2","80,0","221,2",VOLKSWAGEN
08/04/2024,FRONTIER,"965,15","200,0","1165,15",NISSAN
08/04/2024,S10,"0,0","130,0","130,0",CHEVROLET
09/04/2024,MONTANA,"0,0","120,0","120,0",CHEVROLET
10/04/2024,PALIO WEEKEND,"2214,75","1620,0","3834,75",FIAT
10/04/2024,F250,"2838,16","640,0","3478,16",FORD
10/04/2024,TRACKER,"920,0","0,0","920,0",CHEVROLET
10/04/2024,TCROSS,"647,35","210,0","857,35",VOLKSWAGEN
11/04/2024,ECOSPORT,"0,0","280,0","280,0",FORD
11/04/2024,320I,"635,5","0,0","635,5",BMW
12/04/2024,FASTBACK,"913,43","150,0","1063,43",FIAT
12/04/2024,PAJERO TR4,"561,0","120,0","681,0",MITSUBISHI
12/04/2024,SANDERO,"167,25","280,0","447,25",RENAULT
12/04/2024,STRADA,"348,0","340,0","688,0",FIAT
15/04/2024,CRUZE,"378,0","300,0","678,0",CHEVROLET
15/04/2024,UP,"2368,86","521,15","2890,01",VOLKSWAGEN
15/04/2024,ONIX,"387,0","0,0","387,0",CHEVROLET
16/04/2024,L200 TRITON,"4035,56","2112,79","6148,35",MITSUBISHI
16/04/2024,320I,"436,15","0,0","436,15",BMW
17/04/2024,TRACKER,"596,68","903,31","1499,99",CHEVROLET
17/04/2024,DODGE RAM 2500,"1134,8","525,0","1659,8",DODGE
17/04/2024,COMPASS,"304,8","160,0","464,8",JEEP
19/04/2024,ONIX,"463,85","90,0","553,85",CHEVROLET
22/04/2024,TORO,"3289,92","1650,1","4940,02",FIAT
22/04/2024,CRUZE,"1717,73","1320,27","3038,0",CHEVROLET
22/04/2024,CIVIC,"0,0","300,0","300,0",HONDA
22/04/2024,STRADA,"270,48","279,52","550,0",FIAT
22/04/2024,CRUZE,"1530,95","759,04","2289,99",CHEVROLET
22/04/2024,S10,"372,25","460,0","832,25",CHEVROLET
23/04/2024,GRAND CHEROKEE,"888,71","8661,28","9549,99",JEEP
23/04/2024,L200 TRITON,"1694,31","555,7","2250,01",MITSUBISHI
23/04/2024,S10,"611,05","0,0","611,05",CHEVROLET
23/04/2024,PAJERO TR4,"5770,44","1529,56","7300,0",MITSUBISHI
23/04/2024,207 SW,"129,0","0,0","129,0",PEUGEOT
23/04/2024,X1,"188,11","1801,89","1990,0",BMW
23/04/2024,ETIOS,"0,0","120,0","120,0",TOYOTA
23/04/2024,CLA,"920,27","479,73","1400,0",MERCEDES
24/04/2024,STRADA,"1248,13","647,87","1896,0",FIAT
24/04/2024,PALIO WEEKEND,"688,45","230,0","918,45",FIAT
24/04/2024,COROLLA,"0,0","300,0","300,0",TOYOTA
25/04/2024,HILUX,"771,85","475,0","1246,85",TOYOTA
25/04/2024,AMAROK,"23,05","116,95","140,0",VOLKSWAGEN
25/04/2024,L200,"1079,32","2400,68","3480,0",MITSUBISHI
26/04/2024,COMPASS,"870,0","0,0","870,0",JEEP
26/04/2024,COMPASS,"5552,28","2647,72","8200,0",JEEP
26/04/2024,ONIX,"1054,69","795,31","1850,0",CHEVROLET
26/04/2024,S10,"532,2","0,0","532,2",CHEVROLET
26/04/2024,CORSA,"376,25","388,76","765,01",CHEVROLET
29/04/2024,AMAROK,"19,6","400,0","419,6",VOLKSWAGEN
29/04/2024,HILUX SW4,"2836,85","1710,0","4546,85",TOYOTA
29/04/2024,PALIO,"140,2","90,0","230,2",FIAT
30/04/2024,COROLLA,"0,0","198,0","198,0",TOYOTA
02/05/2024,UNO,"370,1","175,0","545,1",FIAT
02/05/2024,ETIOS,"1610,07","696,27","2306,34",TOYOTA
02/05/2024,ONIX,"1014,8","465,19","1479,99",CHEVROLET
02/05/2024,FUSION,"2842,26","4057,76","6900,02",FORD
03/05/2024,CIVIC,"168,0","0,0","168,0",HONDA
03/05/2024,CORSA CLASSIC,"206,89","93,11","300,0",CHEVROLET
06/05/2024,TORO,"76,0","340,0","416,0",FIAT
06/05/2024,VECTRA,"374,82","225,18","600,0",CHEVROLET
06/05/2024,GRAND CHEROKEE,"394,25","670,0","1064,25",JEEP
06/05/2024,STRADA,"184,3","95,69","279,99",FIAT
06/05/2024,POLO,"1833,2","1000,0","2833,2",VOLKSWAGEN
07/05/2024,STRADA,"214,23","85,5","299,73",FIAT
07/05/2024,PAJERO DAKAR,"217,0","150,0","367,0",MITSUBISHI
07/05/2024,S10,"1761,5","780,0","2541,5",CHEVROLET
08/05/2024,SAVEIRO,"498,4","440,0","938,4",VOLKSWAGEN
08/05/2024,MONTANA,"98,6","130,0","228,6",CHEVROLET
08/05/2024,COMPASS,"517,8","335,0","852,8",JEEP
08/05/2024,RANGER,"244,68","5550,0","5794,68",FORD
08/05/2024,CORSA,"1938,4","740,0","2678,4",CHEVROLET
09/05/2024,HB20,"2354,3","715,0","3069,3",HYUNDAI
09/05/2024,SAVEIRO,"0,0","220,0","220,0",VOLKSWAGEN
10/05/2024,COMPASS,"89,25","80,0","169,25",JEEP
10/05/2024,B200T,"3777,96","472,04","4250,0",MERCEDES
10/05/2024,PAJERO SPORT,"420,35","0,0","420,35",MITSUBISHI
10/05/2024,PAJERO SPORT,"0,0","1200,0","1200,0",MITSUBISHI
13/05/2024,PAJERO GLS-B,"1831,63","520,0","2351,63",MITSUBISHI
13/05/2024,TUCSON,"193,99","541,5","735,49",HYUNDAI
13/05/2024,FUSION,"2126,8","840,0","2966,8",FORD
13/05/2024,COMPASS,"160,85","230,0","390,85",JEEP
14/05/2024,CORSA,"46,9","295,0","341,9",CHEVROLET
14/05/2024,L200 TRITON,"556,99","185,66","742,65",MITSUBISHI
14/05/2024,HB20,"185,04","449,96","635,0",HYUNDAI
14/05/2024,PAMPA,"230,0","220,0","450,0",FIAT
14/05/2024,RENEGADE,"131,33","418,67","550,0",JEEP
14/05/2024,HILUX,"5270,9","1970,0","7240,9",TOYOTA
15/05/2024,L200 TRITON,"25,0","900,0","925,0",MITSUBISHI
15/05/2024,C4 LOUNGE,"30,0","1580,0","1610,0",CITROËN
15/05/2024,MOBI,"364,7","0,0","364,7",FIAT
16/05/2024,TRACKER,"159,2","100,0","259,2",CHEVROLET
16/05/2024,207,"170,12","530,0","700,12",PEUGEOT
16/05/2024,207,"120,0","0,0","120,0",PEUGEOT
16/05/2024,TUCSON,"372,6","480,0","852,6",HYUNDAI
16/05/2024,PAJERO SPORT,"2323,06","2226,08","4549,14",MITSUBISHI
17/05/2024,FRONTIER,"2242,1","585,0","2827,1",NISSAN
17/05/2024,TCROSS,"525,0","200,0","725,0",VOLKSWAGEN
20/05/2024,L200 TRITON,"8007,17","4289,2","12296,37",MITSUBISHI
20/05/2024,X1,"1419,35","980,65","2400,0",BMW
20/05/2024,AMAROK,"60,0","0,0","60,0",VOLKSWAGEN
20/05/2024,207,"0,0","200,0","200,0",PEUGEOT
20/05/2024,MERIVA,"36,3","0,0","36,3",CHEVROLET
21/05/2024,CRUZE,"696,8","453,2","1150,0",CHEVROLET
21/05/2024,ONIX,"1708,14","535,0","2243,14",CHEVROLET
21/05/2024,HILUX SW4,"1698,3","510,0","2208,3",TOYOTA
21/05/2024,FRONTIER,"198,0","455,0","653,0",NISSAN
21/05/2024,TORO,"719,7","440,0","1159,7",FIAT
22/05/2024,MONTANA,"846,8","230,0","1076,8",CHEVROLET
22/05/2024,POLO,"30,0","0,0","30,0",VOLKSWAGEN
22/05/2024,JETTA,"808,85","1160,0","1968,85",VOLKSWAGEN
22/05/2024,RENEGADE,"0,0","80,0","80,0",JEEP
22/05/2024,PAJERO SPORT,"263,88","1736,11","1999,99",MITSUBISHI
23/05/2024,RANGER,"1036,4","643,59","1679,99",FORD
23/05/2024,X1,"112,4","450,0","562,4",BMW
23/05/2024,PAJERO DAKAR,"136,15","390,0","526,15",MITSUBISHI
23/05/2024,CELTA,"1366,3","940,0","2306,3",CHEVROLET
24/05/2024,HILUX,"0,0","1140,0","1140,0",TOYOTA
24/05/2024,DODGE RAM 2500,"20,0","780,0","800,0",DODGE
24/05/2024,ETIOS,"0,0","80,0","80,0",TOYOTA
27/05/2024,CRUZE,"1136,29","713,71","1850,0",CHEVROLET
27/05/2024,S10,"600,0","0,0","600,0",CHEVROLET
27/05/2024,ZAFIRA,"1192,55","430,0","1622,55",CHEVROLET
27/05/2024,S10,"2427,45","850,25","3277,7",CHEVROLET
27/05/2024,RANGER,"1176,75","680,0","1856,75",FORD
28/05/2024,S10,"504,34","230,0","734,34",CHEVROLET
28/05/2024,CAPTUR,"664,08","479,92","1144,0",RENAULT
28/05/2024,C4 LOUNGE,"0,0","770,0","770,0",CITROËN
29/05/2024,CAPTUR,"702,1","0,0","702,1",RENAULT
29/05/2024,B200T,"0,0","500,0","500,0",MERCEDES
31/05/2024,VECTRA,"0,0","80,0","80,0",CHEVROLET
31/05/2024,RENEGADE,"357,8","100,0","457,8",JEEP
31/05/2024,ONIX,"330,35","350,0","680,35",CHEVROLET
