Data;Veiculo; Produto ; Serviço ; Total ;;;;
09/02/2024;TORO; 0,00 ; 80,00 ; 80,00 ;;;;
09/02/2024;ONIX; 91,10 ; 60,00 ; 151,10 ;;;;
09/02/2024;PEUGEOT 208; 121,20 ; 113,80 ; 235,00 ;;;;
09/02/2024;STRADA; 1.513,65 ; 500,00 ; 2.013,65 ;;;;
14/02/2024;ONIX; 1.783,85 ; 390,00 ; 2.173,85 ;;;;
14/02/2024;RENEGADE; 2.343,00 ; 1.245,00 ; 3.588,00 ;;;;
14/02/2024;COMPASS; 189,99 ; 0,00 ; 189,99 ;;;;
14/02/2024;ONIX; 0,00 ; 280,00 ; 280,00 ;;;;
14/02/2024;CRUZE; 629,06 ; 170,94 ; 800,00 ;;;;
14/02/2024;ECOSPORT; 339,75 ; 0,00 ; 339,75 ;;;;
14/02/2024;S10; 77,50 ; 0,00 ; 77,50 ;;;;
14/02/2024;COMPASS; 1.791,34 ; 588,66 ; 2.380,00 ;;;;
15/02/2024;PAJERO DAKAR; 813,08 ; 186,92 ; 1.000,00 ;;;;
15/02/2024;GRAND CHEROKEE; 8.600,50 ; 3.400,00 ; 12.000,50 ;;;;
15/02/2024;GOL; 620,84 ; 359,16 ; 980,00 ;;;;
15/02/2024;CRUZE; 738,00 ; 455,00 ; 1.193,00 ;;;;
15/02/2024;COMPASS; 135,80 ; 0,00 ; 135,80 ;;;;
15/02/2024;PAJERO TR4; 2.008,40 ; 1.640,00 ; 3.648,40 ;;;;
15/02/2024;ONIX; 459,16 ; 330,84 ; 790,00 ;;;;
15/02/2024;BMW 320I; 74,64 ; 425,35 ; 499,99 ;;;;
16/02/2024;ECOSPORT; 286,99 ; 0,00 ; 286,99 ;;;;
16/02/2024;STRADA; 449,83 ; 93,67 ; 543,50 ;;;;
16/02/2024;C4 CACTUS; 0,00 ; 90,00 ; 90,00 ;;;;
16/02/2024;CRUZE; 6.572,32 ; 2.349,68 ; 8.922,00 ;;;;
16/02/2024;F250; 1.174,50 ; 545,00 ; 1.719,50 ;;;;
19/02/2024;SANDERO; 490,00 ; 90,00 ; 580,00 ;;;;
19/02/2024;UNO; 480,40 ; 240,00 ; 720,40 ;;;;
19/02/2024;GALAXIE 500; 195,36 ; 566,64 ; 762,00 ;;;;
19/02/2024;SIENA; 802,83 ; 947,17 ; 1.750,00 ;;;;
20/02/2024;COROLLA; 1.941,40 ; 2.380,00 ; 4.321,40 ;;;;
20/02/2024;PALIO; 0,00 ; 220,00 ; 220,00 ;;;;
20/02/2024;CORSA; 370,43 ; 260,00 ; 630,43 ;;;;
20/02/2024;S10; 390,05 ; 224,95 ; 615,00 ;;;;
20/02/2024;HRV; 150,36 ; 279,64 ; 430,00 ;;;;
21/02/2024;COMPASS; 738,00 ; 455,00 ; 1.193,00 ;;;;
21/02/2024;KA; 4,50 ; 120,00 ; 124,50 ;;;;
21/02/2024;CIVIC; 8.954,65 ; 6.980,35 ; 15.935,00 ;;;;
21/02/2024;PAMPA; 840,50 ; 1.030,00 ; 1.870,50 ;;;;
22/02/2024;JETTA; 238,15 ; 1.070,00 ; 1.308,15 ;;;;
22/02/2024;UP; 1.023,30 ; 700,00 ; 1.723,30 ;;;;
22/02/2024;FUSION; 0,00 ; 300,00 ; 300,00 ;;;;
22/02/2024;COMPASS; 2.910,50 ; 990,00 ; 3.900,50 ;;;;
23/02/2024;ESCORT; 1.875,51 ; 824,49 ; 2.700,00 ;;;;
23/02/2024;PEUGEOT 208; 30,80 ; 185,00 ; 215,80 ;;;;
26/02/2024;AZERA; 1.094,90 ; 0,00 ; 1.094,90 ;;;;
26/02/2024;RANGER; 938,54 ; 661,47 ; 1.600,01 ;;;;
26/02/2024;C180; 0,00 ; 240,00 ; 240,00 ;;;;
26/02/2024;MERIVA; 1.468,50 ; 630,00 ; 2.098,50 ;;;;
26/02/2024;AZERA; 634,70 ; 1.065,30 ; 1.700,00 ;;;;
27/02/2024;PEUGEOT 208; 267,07 ; 112,93 ; 380,00 ;;;;
27/02/2024;COMPASS; 245,91 ; 361,00 ; 606,91 ;;;;
27/02/2024;SANDERO; 507,83 ; 332,16 ; 839,99 ;;;;
27/02/2024;BMW 320I; 1.188,90 ; 380,00 ; 1.568,90 ;;;;
27/02/2024;SAVEIRO; 0,00 ; 80,00 ; 80,00 ;;;;
28/02/2024;KA; 498,20 ; 395,00 ; 893,20 ;;;;
28/02/2024;WRV; 1.020,36 ; 729,61 ; 1.749,97 ;;;;
28/02/2024;GOL; 375,30 ; 335,00 ; 710,30 ;;;;
28/02/2024;CLASSE A160; 360,80 ; 790,00 ; 1.150,80 ;;;;
29/02/2024;KICKS; 1.375,14 ; 824,87 ; 2.200,01 ;;;;
29/02/2024;PALIO; 681,55 ; 120,00 ; 801,55 ;;;;
04/03/2024;HB20; 5.467,99 ; 3.435,00 ; 8.902,99 ;;;;
04/03/2024;XC90; 0,00 ; 180,00 ; 180,00 ;;;;
04/03/2024;ASTRA; 42,53 ; 387,46 ; 429,99 ;;;;
04/03/2024;LIVINA; 894,65 ; 770,00 ; 1.664,65 ;;;;
04/03/2024;PAJERO SPORT; 401,80 ; 744,00 ; 1.145,80 ;;;;
05/03/2024;HB20; 536,87 ; 323,13 ; 860,00 ;;;;
05/03/2024;SAVEIRO; 2.073,26 ; 326,74 ; 2.400,00 ;;;;
05/03/2024;LIVINA; 322,95 ; 315,00 ; 637,95 ;;;;
05/03/2024;TORO; 3.822,55 ; 620,00 ; 4.442,55 ;;;;
05/03/2024;AZERA; 0,00 ; 370,00 ; 370,00 ;;;;
05/03/2024;SAVEIRO; 81,60 ; 480,00 ; 561,60 ;;;;
05/03/2024;BMW X1; 81,90 ; 0,00 ; 81,90 ;;;;
06/03/2024;MONTANA; 0,00 ; 300,00 ; 300,00 ;;;;
06/03/2024;AMAROK; 0,00 ; 285,00 ; 285,00 ;;;;
07/03/2024;CIVIC; 2.570,30 ; 1.180,00 ; 3.750,30 ;;;;
07/03/2024;CRUZE; 1.097,76 ; 552,23 ; 1.649,99 ;;;;
08/03/2024;PAJERO GLS-B; 121,00 ; 0,00 ; 121,00 ;;;;
11/03/2024;C4 CACTUS; 417,30 ; 200,00 ; 617,30 ;;;;
11/03/2024;S10; 837,66 ; 662,35 ; 1.500,01 ;;;;
12/03/2024;SANDERO; 81,56 ; 72,64 ; 154,20 ;;;;
12/03/2024;AZERA; 1.357,72 ; 1.142,27 ; 2.499,99 ;;;;
12/03/2024;BMW 335I; 671,35 ; 0,00 ; 671,35 ;;;;
